Date,Adj Close,Open,High,Low,Volume,
23/10/2015,32653,31329,32653,31329,4.36M,
26/10/2015,32727,32947,33609,32727,3.33M,
27/10/2015,32653,32653,32947,32359,944.66K,
28/10/2015,32653,32727,33241,32653,1.66M,
29/10/2015,33830,32653,33830,32653,5.13M,
30/10/2015,33462,33903,33903,33315,2.54M,
2/11/2015,33094,33536,33683,33021,1.51M,
3/11/2015,33830,33094,33830,32580,1.83M,
4/11/2015,33536,34050,34418,33536,1.89M,
5/11/2015,33462,33462,33903,33462,1.04M,
6/11/2015,33168,33462,33683,33094,1.17M,
9/11/2015,33168,33315,33389,32947,819.19K,
10/11/2015,32727,32947,33168,32727,1.13M,
11/11/2015,32432,32727,32947,32285,1.86M,
12/11/2015,32138,32212,32653,31403,2.79M,
13/11/2015,32580,32138,32580,32138,1.03M,
16/11/2015,31918,32285,32506,31918,1.37M,
17/11/2015,31918,31991,32359,31844,1.11M,
18/11/2015,32138,32065,32432,31844,933.97K,
19/11/2015,31918,32285,32285,31918,1.03M,
20/11/2015,32138,32138,32285,31918,923.50K,
23/11/2015,32138,32065,32285,32065,766.56K,
24/11/2015,31918,32138,32212,31844,650.91K,
25/11/2015,31918,31844,31991,31550,1.14M,
26/11/2015,31771,31918,31918,31697,321.12K,
27/11/2015,31329,31697,31771,31256,877.17K,
30/11/2015,31476,31109,31476,31035,1.28M,
1/12/2015,31476,31550,31623,31403,355.81K,
2/12/2015,31329,31623,31844,31329,984.00K,
3/12/2015,31476,31329,31550,31256,567.97K,
4/12/2015,31109,31329,31550,31035,767.62K,
7/12/2015,31109,31182,31182,30888,1.09M,
8/12/2015,31182,30962,31329,30741,1.06M,
9/12/2015,30741,31182,31918,30741,1.84M,
10/12/2015,30373,30741,31109,30373,846.42K,
11/12/2015,30520,30373,30594,30373,925.80K,
14/12/2015,30373,30520,30594,30226,835.09K,
15/12/2015,30520,30300,30667,30300,511.86K,
16/12/2015,30667,30741,31109,30594,710.24K,
17/12/2015,30815,30888,31109,30741,782.74K,
18/12/2015,29417,30815,30962,29417,3.35M,
21/12/2015,30520,30153,30520,30153,710.28K,
22/12/2015,30594,30520,30741,30447,498.18K,
23/12/2015,30667,30300,30815,30300,1.00M,
24/12/2015,30888,30815,30962,30667,913.83K,
25/12/2015,31182,31109,31256,30888,767.97K,
28/12/2015,31991,31182,32138,31182,2.03M,
29/12/2015,33462,31991,33462,31623,3.95M,
30/12/2015,33830,33168,33830,32359,3.86M,
31/12/2015,33609,33462,33830,33168,4.57M,
4/1/2016,34933,33536,34933,33241,6.54M,
5/1/2016,34933,34565,35080,34418,3.37M,
6/1/2016,34933,34859,35227,34345,2.69M,
7/1/2016,35301,34418,35448,34197,3.88M,
8/1/2016,35301,34933,35301,34565,2.23M,
11/1/2016,35521,35301,36110,35006,2.16M,
12/1/2016,35301,35521,35595,35006,1.40M,
13/01/2016,35227,35301,35301,34712,2.72M,
14/01/2016,35301,34712,35448,34712,3.56M,
15/01/2016,34933,35374,35374,34859,1.27M,
18/01/2016,34933,34418,35006,33094,3.42M,
19/01/2016,34933,34712,35374,34712,1.00M,
20/01/2016,34859,34639,35301,34639,2.13M,
21/01/2016,35154,35080,35301,34786,2.99M,
22/01/2016,35521,35154,36110,35154,1.95M,
25/01/2016,35521,35668,35668,35301,2.67M,
26/01/2016,35301,35301,35595,34786,2.42M,
27/01/2016,34933,34933,35006,34492,4.68M,
28/01/2016,35521,34565,35521,34565,5.77M,
29/01/2016,35006,35448,35448,34712,3.03M,
1/2/2016,34565,34712,35227,34565,1.54M,
2/2/2016,34565,34345,34712,34345,1.38M,
3/2/2016,34565,34345,34565,33830,1.50M,
4/2/2016,34565,34565,34933,34565,549.41K,
5/2/2016,34271,34124,34565,34124,1.22M,
15/02/2016,33462,34197,34271,33462,931.51K,
16/02/2016,33536,33977,33977,33462,533.10K,
17/02/2016,33462,34050,34050,33462,352.84K,
18/02/2016,33830,33830,33977,33609,809.25K,
19/02/2016,33168,33756,33756,32580,1.90M,
22/02/2016,33241,33168,33241,32800,985.76K,
23/02/2016,33536,33241,34050,33241,569.18K,
24/02/2016,33389,33389,33756,33168,727.28K,
25/02/2016,33462,33462,33756,33389,719.09K,
26/02/2016,33094,33536,33683,32874,1.68M,
29/02/2016,32432,33094,33094,32432,352.57K,
1/3/2016,32432,32653,32800,32065,1.30M,
2/3/2016,33094,32653,33168,32506,761.92K,
3/3/2016,33389,33241,33462,33094,668.25K,
4/3/2016,33683,33389,33830,33241,1.09M,
7/3/2016,33683,33683,34197,33462,758.06K,
8/3/2016,34124,33536,34124,33536,1.47M,
9/3/2016,34197,34197,34492,34197,1.53M,
10/3/2016,34197,34197,34418,34124,782.28K,
11/3/2016,33389,34197,34197,33389,761.96K,
14/03/2016,33389,33168,33462,33094,471.33K,
15/03/2016,33094,33389,33830,32947,1.46M,
16/03/2016,32800,32874,33021,32800,590.61K,
17/03/2016,33094,33241,33315,33021,663.71K,
